[2021-05-16 15:44:19.817] Starting up round ID 10.
 - -------------------------
[2021-05-16 16:43:47.814] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Estamos nos tuneis" (language: Galactic Common) (Tunnel (164, 137, 3))
[2021-05-16 16:44:04.038] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Se possivel busquem informações com os habitantes do Deserto." (language: Galactic Common) (Brotherhood of Steel Reactor (218, 208, 3))
[2021-05-16 16:44:27.397] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Lembrando, sigam o regurlamento, não atirem em estranhos até que mostrem perigo." (language: Galactic Common) (Brotherhood of Steel Reactor (218, 208, 3))
[2021-05-16 16:44:58.495] TCOMMS: GabrielDoomBR/(Baam Frest) [Common] (spans:  ) "Oasis aberta" (language: Galactic Common) (City (59, 48, 2))
[2021-05-16 16:45:27.293] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Nao sabemos aonde fica as vaultsa" (language: Galactic Common) (Wasteland (120, 180, 2))
[2021-05-16 16:45:37.092] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Siga a oeste." (language: Galactic Common) (Brotherhood of Steel Leisure Areas (222, 231, 3))
[2021-05-16 16:45:42.503] TCOMMS: zero9e1/(Meryl Hegarty) [BOS] (spans:  ) "Podemos ir saber isso pelo oasis" (language: Galactic Common) (Wasteland (118, 181, 2))
[2021-05-16 16:46:02.973] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Tentem buscar informações, não sabemos a localização exata." (language: Galactic Common) (Brotherhood of Steel Operations Department (232, 231, 3))
[2021-05-16 16:47:14.628] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "MEU DEUS" (language: Galactic Common) (Tunnel (12, 140, 3))
[2021-05-16 16:47:20.026] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "ACHO QUE ACHAMOS O CORPO" (language: Galactic Common) (Tunnel (12, 140, 3))
[2021-05-16 16:47:22.447] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "O que?" (language: Galactic Common) (Brotherhood of Steel (141, 232, 2))
[2021-05-16 16:47:29.571] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "O CHEFE PALADINO?!" (language: Galactic Common) (Brotherhood of Steel (141, 232, 2))
[2021-05-16 16:48:09.218] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "CARRRALH" (language: Galactic Common) (Tunnel (10, 181, 3))
[2021-05-16 16:48:09.395] TCOMMS: zero9e1/(Meryl Hegarty) [BOS] (spans:  ) "Estão bem?" (language: Galactic Common) (Tunnel (14, 132, 3))
[2021-05-16 16:48:14.835] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "DEATH CLAW" (language: Galactic Common) (Tunnel (10, 181, 3))
[2021-05-16 16:48:20.779] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Merda! Saiam dai" (language: Galactic Common) (Brotherhood of Steel (154, 230, 2))
