[2021-05-22 22:06:27.723] Starting up round ID 29.
 - -------------------------
[2021-05-22 23:13:51.066] TCOMMS: goldencatc/(Roswell Sutton) [BOS] (spans:  ) "Exato." (language: Galactic Common) (Village (157, 177, 2))
[2021-05-22 23:14:01.515] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Tecnologia da pra pegar em carro" (language: Galactic Common) (Brotherhood of Steel (149, 250, 2))
[2021-05-22 23:14:18.080] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Só usar welding tool com helmet" (language: Galactic Common) (Brotherhood of Steel (151, 250, 2))
[2021-05-22 23:14:24.563] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "No carro" (language: Galactic Common) (Brotherhood of Steel (151, 241, 2))
[2021-05-22 23:14:48.217] TCOMMS: dantesousa/(Declan Smith) [BOS] (spans:  ) "Tamo voltando eu e um paladino." (language: Galactic Common) (Bunker (31, 245, 4))
[2021-05-22 23:15:10.052] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Alguem pode me curar" (language: Galactic Common) (Brotherhood of Steel (142, 233, 2))
[2021-05-22 23:15:16.574] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Ou me dar um analisador" (language: Galactic Common) (Brotherhood of Steel (142, 233, 2))
[2021-05-22 23:15:20.444] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "?" (language: Galactic Common) (Brotherhood of Steel (152, 234, 2))
[2021-05-22 23:15:26.414] TCOMMS: FidgetyBacchus/(Aster Crowley) [BOS] (spans:  ) "Cade os scribes pra te curar?" (language: Galactic Common) (Brotherhood of Steel (172, 216, 2))
[2021-05-22 23:16:10.087] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Não tem" (language: Galactic Common) (Brotherhood of Steel (139, 237, 2))
[2021-05-22 23:16:19.352] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Só eu" (language: Galactic Common) (Brotherhood of Steel (163, 232, 2))
[2021-05-22 23:16:34.532] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Sou o head scribe" (language: Galactic Common) (Brotherhood of Steel (167, 225, 2))
[2021-05-22 23:17:44.983] TCOMMS: Kaduh/(Erika Miller) [Common] (spans:  ) "Tem mosntro na base dos seguidores algum pode ajuda?" (language: Galactic Common) (Followers of the Apocalypse (90, 47, 3))
[2021-05-22 23:19:16.172] TCOMMS: Kaduh/(Erika Miller) [Common] (spans:  ) "Matei eles" (language: Galactic Common) (Wasteland (90, 61, 2))
[2021-05-22 23:21:29.779] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Ue" (language: Galactic Common) (Brotherhood of Steel (162, 237, 2))
[2021-05-22 23:21:35.828] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Eu acho que to cego pra sempre" (language: Galactic Common) (Brotherhood of Steel (162, 237, 2))
[2021-05-22 23:21:47.769] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Eu usei o analisador e não deu em nada" (language: Galactic Common) (Brotherhood of Steel (167, 230, 2))
[2021-05-22 23:21:59.975] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Talvez seja cirurgia sei lá" (language: Galactic Common) (Brotherhood of Steel (167, 229, 2))
[2021-05-22 23:22:04.892] TCOMMS: alexalbright/(Darios Scalicius) [Legion] (spans:  yell ) "Alguem chegou?!!!" (language: Galactic Common) (Wasteland (95, 137, 2))
[2021-05-22 23:22:58.061] TCOMMS: josinhodasquebrada/(Belzebuth Azazel) [BOS] (spans:  ) "Espera ai" (language: Galactic Common) (Bunker (28, 246, 4))
[2021-05-22 23:23:06.290] TCOMMS: goldencatc/(Roswell Sutton) [BOS] (spans:  ) "Elder portão." (language: Galactic Common) (Wasteland (178, 196, 2))
[2021-05-22 23:23:13.443] TCOMMS: dantesousa/(Declan Smith) [BOS] (spans:  ) "Estou indo, um momento." (language: Galactic Common) (North Bunker Elevator (43, 233, 4))
[2021-05-22 23:23:31.745] TCOMMS: Kaduh/(Erika Miller) [Common] (spans:  ) "Os seguidores tem comida e compatilhamos ela com voces" (language: Galactic Common) (Followers of the Apocalypse (92, 57, 2))
[2021-05-22 23:23:42.831] TCOMMS: Kaduh/(Erika Miller) [Common] (spans:  ) "Mas voces tem que prometerem nao lutar" (language: Galactic Common) (Followers of the Apocalypse (92, 57, 2))
