[2021-05-16 03:43:50.151] Starting up round ID 8.
 - -------------------------
[2021-05-16 04:58:51.883] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Tem comida na cozinha dentro do freezer" (language: Galactic Common) (Brotherhood of Steel Leisure Areas (221, 240, 3))
[2021-05-16 04:59:00.092] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "E uns MRE na pratileira" (language: Galactic Common) (Brotherhood of Steel Leisure Areas (221, 239, 3))
[2021-05-16 05:03:04.627] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Joguei o corpo fora" (language: Galactic Common) (Brotherhood of Steel (168, 228, 2))
[2021-05-16 05:03:08.802] TCOMMS: dantesousa/(Dante Sousa) [BOS] (spans:  ) "Ok.." (language: Galactic Common) (Brotherhood of Steel RnD Department (233, 200, 3))
[2021-05-16 05:05:26.577] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Chefe Paladino, sabe a localização de alguma Vault?" (language: Galactic Common) (Brotherhood of Steel (166, 234, 2))
[2021-05-16 05:13:36.744] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Nossah eu não paro &#39;de ficar com fome" (language: Galactic Common) (Brotherhood of Steel Leisure Areas (220, 234, 3))
[2021-05-16 05:14:06.661] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Si acabar com o estoque..o chefe vai ti meter paulada" (language: Galactic Common) (Brotherhood of Steel (168, 235, 2))
[2021-05-16 05:14:30.529] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Car&#39;a eu to com dor" (language: Galactic Common) (Brotherhood of Steel Operations Department (232, 220, 3))
[2021-05-16 05:14:39.517] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Minha vida foi para laranja, se que se me entende" (language: Galactic Common) (Brotherhood of Steel Operations Department (232, 221, 3))
[2021-05-16 05:14:51.462] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Bebe isso ai não" (language: Galactic Common) (Brotherhood of Steel Medbay (242, 225, 3))
